ruby vs rails,"rails is the structure of the project/app, ruby is the language that it's written in. Ruby doesn't need Rails, but Rails defiinitely doesn't need Ruby. Rails allows us to use Ruby in both the back-end and the front-end",,
cd to the appropriate folder > rails new projectname,creates a new folder with a rails project,,
cd into the project > bundle install,installs more gems! You have to stop the server in order for bundle install to apply,,
bundle show [gemname],to see where a bundled gem is installed,,
appropriately name,"what does the project do as a whole?
starts with a letter
all lowercase
underscores for spaces",,
gemfile,"a gem is a Ruby program or library in a standard format available through RubyGems
Each gem has a name, version, and platform. For example, the rails gem has a 4.2.1 version
even rails itself is a gem, coming in. You can navigate to the gemfile to read what it does",,
jquery-rails,We no longer have to link to jquery to bring it in,,
turbolinks,we'll be taking it out a lot,,
README.doc,"you can/should change this. Up on github, when we're looking through instructions on gems or whatever, that's their readme file",,
app/,"organizes your application components. It's got subdirectories that hold the view (views and helpers), controller (controllers), and the backend logic (models) as well as assets and mailers",,
bin/,stands for binary. powers the commands,,
config/,we'll spend much time here. We'll be mostly looking at the routes file. We might also have some places for development(local) and production(on the web),,
db/,this is where we'll see schemas & layouts for our database. there are two steps to do it. Saying you want to and then (migrating?) it into (production?),,
seeds/,"when we push into production, our data doesn't come along. But if you have a seeds file with data in it, you can see the databse. ALSO if you're working in a group and you all want the same data, you can share it using the seeds file",,
lib/,library - any kind of custom code that doesn't fit anywhere else. A lot of Ruby gems go here,,
log/,"whenever we run the server, it's in the command prompt and will show certain things, but if you close the command prompt, it's all gone....except in the log! So it's a record of what happens during the time you run your server",,
public/,"a directory for the web server, and it has files that don't change, like JS files. And maybe images. Also 404 error pages are here and you could come through and change the look of them.",,
test/,"for running tests, if you've heard of test-driven development. the idea is that you write tests to fail and then if they fail, you fix the code",,
tmp/,"holds temporary files, not actually utilized much",,
vendor/,"you can keep stylesheets and js stuff here, but really we will keep them in the assets",,
command prompt> rails s,"starts the server! once you see the three lines that start with brackets, you'll know the server has started",,
localhost:3000,"takes you to a webpage. Getting the ""welcome aboard"" screen means that we've done the process correctly but nothing is actually in our app",,
development.log,it's now going to hold everything we do. A permanant record of everything we hold in the server,,
