puts,"kinda similar ""print"" or ""console.log"". Simply puts whatever is behind it on the screen. In this case, Ruby will place the word 'sample' on the screen. Note that what this stands for is ""put string"", so if you said puts '20' \\ puts 20 , the output would be the same for both of them."
-3425354,integer. Fancy word for a negative or positive (or zero!) number that doesn't have a decimal point.
-34325.45464,"float. Yes, these too. Most programs don't use them, but they're good for 3D graphics and theoretical physics experiments. Also calculators use them."
sample',string. yay.
puts 'sample'*3,"this is how you would repeat a string. the output would be 'samplesamplesample'. You have to write the string first for this to work. Also, you can't concatenate a number and a string, and you can't multiply a string by another string."
"puts 'sample\\sample'
puts 'sample\sample'","backlash only works with special characters, not letters, so it ends up escaping itself. So these two lines would output the same thing:  sample\sample"
sample = 'sample',variable and assignment. **note that the variable name needs to start with a lower case letter.
"var1 = '2'
var2 = 5
puts var2.to_s + var2",the to_s converts a number to a string (so it can be concatenated with another string
"var1 = '2'
var2 = 5
puts var1.to_i + var2","the to_i converts the string to an integer. there's also a to_f to convert the string to a float. If you're converting a float to an integer, ruby will round down."
puts '2 sample'.to_i,"will ignore the letters and output simply 2. But only if it's at the beginning; if it starts with a letter, it'll output 0. Side note, all methods have a . in front of them. Technically even the +-*/ methods can be written like 1 .+ 1 but it's ugly and we never do that. Just understand that's how it's done."
puts 'sample'.to_f,"again, ignores the letters, but since we want a float, the output is 0.0"
sample = gets,"gets is a user input command. So it will want the user to input a string. 'Get string,' Heh."
sample = gets.chomp,"when the user inputs something, they press enter, so ruby also takes the enter along with the string and breaks the line. The chomp command eats up the "
self.puts 'sample',Self???? A special object that points to whatever variable that you are in.
"var1 = 'sample'
puts var1.reverse","reverse returns the string with the letters in the opposite order. In this case, it would return 'elpmas' . The variable isn't modified unless you redefine it, however."
"var1 = 'sample'
puts var1.length","length returns the # of characters in the variable. There are 6 letters in 'sample' so it would return 6. Note that it returns an integer, so if you want to concatenate, you would have to convert it into a string."
"""sample"".upcase",makes all the letters uppercase
"""sample"".downcase",make all the letters lowercase
"""sample"".swapcase",changes the cases in all letters
"""sample"".capitalize","capitalizes the first character in a string. If it's not a letter, nothing changes."
"lineWidth = 50
puts(           ""sample"".center(lineWidth))",adds spaces to the beginning and end of the string to make it centered. Note that you also have to tell Ruby just how wide you want it to be.
"lineWidth = 50
puts ""sample"".ljust lineWidth",left justifies the string
